title,series,author,genres,pages,publishDate,publishYear,rating,likedPercent,price
The Answer,standalone,Rebecca Sugar,"['Picture Books', 'Fantasy', 'Childrens', 'LGBT', 'Graphic Novels', 'Comics', 'Queer', 'Fiction', 'Romance', 'Science Fiction']",32,September 6th 2016,2016,4.56,97.0,36.20
"Pharmako/Poeia: Plant Powers, Poisons, and Herbcraft",standalone,Dale Pendell,"['Nonfiction', 'Plants', 'Nature', 'Herbs', 'Poetry', 'Science', 'Spirituality', 'Folklore', 'History', 'Magic']",304,February 1st 1994,1994,4.56,98.0,8.84
Humanae Vitae: Of Human Life,Encyclicals of Pope Paul VI,Pope Paul VI,"['Catholic', 'Theology', 'Religion', 'Nonfiction', 'Christianity', 'Faith', 'Philosophy', 'Christian', 'Spirituality', '20th Century']",16,May 1st 1968,1968,4.56,96.0,6.52
"Berserk, Vol. 5",ベルセルク / Berserk,Kentaro Miura,"['Manga', 'Fantasy', 'Comics', 'Horror', 'Graphic Novels', 'Comics Manga', 'Seinen', 'Dark Fantasy', 'Fiction', 'Action']",236,October 26th 2004,2004,4.56,99.0,12.50
The Protection of Ren Crown,Ren Crown,Anne Zoelle,"['Fantasy', 'Magic', 'Young Adult', 'Urban Fantasy', 'Science Fiction Fantasy', 'Humor', 'Young Adult Fantasy', 'Adventure', 'Fantasy Romance', 'Romance']",428,May 9th 2014,2014,4.56,99.0,9.02
"The Conquering Tide: War in the Pacific Islands, 1942-1944",The Pacific War Trilogy,Ian W. Toll,"['History', 'World War II', 'Nonfiction', 'Military History', 'War', 'Military Fiction', 'American History', 'Naval History', 'Japan', 'Audiobook']",622,September 21st 2015,2015,4.56,99.0,19.57
Worlds Collide,The Land of Stories,Chris Colfer,"['Fantasy', 'Middle Grade', 'Fiction', 'Young Adult', 'Childrens', 'Adventure', 'Fairy Tales', 'Audiobook', 'Magic', 'Retellings']",480,July 11th 2017,2017,4.56,98.0,17.23
One Tuesday Morning / Beyond Tuesday Morning,9/11,Karen Kingsbury,"['Christian Fiction', 'Christian', 'Fiction', 'Romance', 'Historical Fiction', 'Christian Romance', 'Drama', 'Contemporary']",617,July 30th 2006,2006,4.56,99.0,4.17
Windborn,The Guardian Herd,Jennifer Lynn Alvarez,"['Fantasy', 'Animals', 'Horses', 'Middle Grade', 'Anthropomorphic', 'Magic', 'Animal Fiction']",368,September 20th 2016,2016,4.56,97.0,5.23
Daily in His Presence: A Classic Devotional from One of the Most Powerful Voices of the Nineteenth Century,standalone,Andrew Murray,"['Christian', 'Nonfiction', 'Spirituality', 'Christian Living']",400,August 16th 2011,2011,4.56,99.0,10.87
